CCECAI,Abundance
5,6.283185307
2,6.102902191
1,6.260914135
1,6.220317784
3,6.283185307
1,6.283185307
1,6.283185307
1,6.283185307
1,6.2549008
3,6.104778187
3,6.283185307
1,6.283185307
3,6.283185307
1,6.131570643
0,6.283185307
5,6.283185307
5,6.283185307
4,6.283185307
3,6.283185307
0,6.283185307
0,6.283185307
0,6.283185307
2,6.039296658
0,6.183817148
5,5.856834115
5,5.869731656
5,6.283185307
0,6.196000425
0,6.283185307
5,6.283185307
1,6.283185307
7,6.283185307
0,6.283185307
1,6.248313674
7,5.765821535
1,6.283185307
7,5.983921251
7,6.283185307
4,6.283185307
1,6.283185307
0,6.283185307
7,6.057783992
0,5.981942158
7,6.283185307
3,6.283185307
1,6.104733292
1,6.283185307
1,6.190829931
3,6.283185307
4,5.724667641
4,6.283185307
0,6.208776715
2,6.094988265
5,6.283185307
5,6.061224622
5,6.21343939
1,6.262789141
2,6.283185307
4,6.283185307
2,5.816405671
3,6.081307643
4,6.283185307
4,6.283185307
4,5.731352889
2,6.283185307
2,6.262019198
2,6.203984173
2,6.283185307
4,5.946215939
4,6.194724719
2,6.206239025
4,6.150074302
4,6.283185307
4,6.044044967
2,6.017599934
4,6.086454026
4,6.283185307
4,5.912986926
4,6.032293889
2,6.283185307
5,6.283185307
4,6.119971397
2,5.911295499
5,5.970405461
1,6.192138992
2,6.198231878
5,6.23602491
1,6.15648342
5,6.283185307
5,6.283185307
1,6.249718516
3,6.047319988
1,5.95177152
1,6.142928183
5,5.829310226
5,6.200233596
5,5.96269254
1,6.283185307
5,5.940397669
5,6.283185307
3,6.283185307
5,6.283185307
1,6.283185307
5,6.283185307
3,6.283185307
3,6.283185307
4,6.283185307
3,6.121549243
5,6.283185307
3,6.283185307
4,6.234522007
3,6.283185307
1,6.283185307
5,5.923658243
5,5.944075835
5,6.283185307
3,6.237929508
4,6.283185307
3,6.283185307
4,6.283185307
3,5.88103088
2,6.04177544
2,6.111551761
0,6.283185307
0,6.248084999
0,6.254340647
3,5.881090968
0,6.127453964
3,6.074360973
1,6.283185307
3,6.234522007
1,6.283185307
1,6.283185307
3,6.283185307
3,6.074399355
3,5.666263787
3,5.897401835
8,5.510376063
1,6.250935927
6,6.099992904
1,6.283185307
4,6.283185307
4,6.283185307
6,6.199369867
3,6.054921128
3,6.244818067
6,6.045356332
4,6.283185307
6,5.933110202
6,5.917513207
1,6.087229424
4,6.283185307
4,6.283185307
1,6.283185307
5,5.567850555
5,5.550915184
5,5.646069077
1,6.283185307
1,6.283185307
1,6.283185307
5,5.94707576
5,6.120020474
1,6.283185307
3,6.033736669
2,5.382766503
1,6.150134461
3,6.057499631
1,6.0351878
3,5.703815987
3,6.283185307
2,5.919564888
0,5.789363072
3,6.283185307
2,5.789936206
1,6.141056845
1,6.075785854
3,5.850956197
7,5.979261606
8,6.219057682
7,6.097473774
8,6.283185307
5,6.26020693
1,6.283185307
7,6.089243395
7,6.072526787
7,6.283185307
5,6.163100622
2,6.14077545
2,6.283185307
5,6.024982777
14,5.842970454
3,6.283185307
14,6.283185307
11,6.20459272
7,6.006762522
3,6.283185307
14,6.048342085
7,5.98301033
11,6.283185307
14,6.129264252
14,5.915210388
14,5.722075936
11,6.283185307
7,6.009358619
7,6.1946343
14,5.958235956
7,5.970148749
0,6.283185307
7,5.646912535
0,6.283185307
1,6.283185307
1,6.283185307
0,6.283185307
0,6.283185307
7,5.974073591
7,5.753471735
0,6.283185307
7,5.933316987
3,6.283185307
1,6.283185307
7,5.986860292
7,5.958755653
7,5.987592794
7,5.917667238
1,5.90639436
1,6.283185307
1,6.283185307
0,6.283185307
3,6.283185307
3,6.283185307
2,6.258527495
6,5.721714893
2,6.264001908
1,6.283185307
2,6.283185307
2,6.283185307
2,6.124196916
3,6.148757623
1,6.190225339
2,6.283185307
2,6.283185307
1,6.283185307
1,6.283185307
2,6.283185307
2,6.059426053
2,6.0255115
2,6.242589044
2,6.100080387
0,6.185032704
2,6.283185307
0,6.283185307
0,6.283185307
0,6.283185307
2,6.147867222
0,6.283185307
0,6.105768747
0,6.283185307
2,6.236536635
0,6.283185307
3,6.283185307
2,6.19766856
2,5.951795771
2,6.103347087
2,6.227183478
0,6.26020693
4,6.227040788
4,6.283185307
4,5.941031472
4,6.283185307
4,6.224668265
3,6.158585866
4,6.283185307
4,6.193914242
4,5.885197882
4,5.880810637
4,6.131623468
4,6.174286595
3,6.283185307
3,6.256955365
3,6.283185307
3,5.981649069
1,6.248313674
3,6.283185307
3,5.989555001
3,5.888836255
3,5.802563287
3,6.239917848
3,6.283185307
3,6.283185307
3,6.283185307
0,6.283185307
3,6.283185307
3,6.283185307
3,5.90838586
3,6.283185307
3,6.283185307
0,6.283185307
3,5.910668571
3,6.283185307
3,6.283185307
0,6.221086114
3,6.283185307
3,6.283185307
0,6.283185307
3,5.969277485
3,5.919255302
3,5.903225179
0,6.283185307
8,6.127762805
3,5.933316987
6,6.124600396
3,5.847518741
6,6.050571963
3,6.283185307
8,5.896172665
8,5.938876583
8,6.081228268
8,6.220317784
4,6.265296704
5,6.114707471
3,6.181429554
3,6.283185307
8,6.085195401
3,6.283185307
5,6.283185307
5,6.283185307
5,6.001015178
5,6.096269759
5,6.181193866
5,6.283185307
2,6.042141127
3,6.283185307
2,6.283185307
2,6.042407429
3,6.283185307
2,6.25952085
3,5.903670259
3,6.075091454
3,6.283185307
1,6.283185307
3,6.283185307
2,5.972492582
3,6.169187421
2,6.079529161
1,6.120315247
1,6.199944691
3,6.186594348
3,5.940749638
3,6.089905549
3,6.104553824
3,6.283185307
3,6.121648369
1,5.994601884
3,6.283185307
1,6.283185307
1,6.222519978
1,6.111039174
6,5.706355969
9,6.110574504
2,6.283185307
9,6.170316442
6,5.830913046
6,5.977443746
6,6.087761727
9,6.067339987
7,5.890022297
0,6.087556824
0,6.093124325
7,5.504316789
0,6.283185307
2,6.283185307
0,6.127299773
7,6.030763965
7,5.945643931
7,5.953961173
6,6.283185307
6,6.283185307
6,6.283185307
6,6.283185307
6,5.969892245
1,6.283185307
6,5.995828467
4,6.251943991
1,6.283185307
1,6.086617014
1,6.283185307
1,6.224123869
4,6.283185307
1,6.172898945
1,6.283185307
1,6.283185307
1,6.283185307
4,5.967745784
4,5.861051963
4,5.985319772
1,6.188857956
1,6.283185307
4,6.283185307
1,6.283185307
5,6.0515045
5,5.962316727
5,6.009475872
1,5.994268259
5,6.184059068
1,6.283185307
3,6.283185307